seqnames,start,end,width,gen,ID,study
chr1,807060,809389,2330,,chimpanzee,SNIFFLES
chr1,807060,807606,547,,chimpanzee,SNIFFLES
chr1,4001695,4001998,304,,chimpanzee,SNIFFLES
chr1,12788269,13209593,421325,,chimpanzee,SNIFFLES
chr1,13107965,13311931,203967,,chimpanzee,SNIFFLES
chr1,13107967,13250535,142569,,chimpanzee,SNIFFLES
chr1,13107965,13167038,59074,,chimpanzee,SNIFFLES
chr1,15954762,52255514,36300753,,chimpanzee,SNIFFLES
chr1,22942437,22943497,1061,,chimpanzee,SNIFFLES
chr1,25258883,25362425,103543,,chimpanzee,SNIFFLES
chr1,25931618,25931729,112,,chimpanzee,SNIFFLES
chr1,29394328,30405971,1011644,,chimpanzee,SNIFFLES
chr1,29735268,29737883,2616,,chimpanzee,SNIFFLES
chr1,32416454,32447955,31502,,chimpanzee,SNIFFLES
chr1,32861145,32862178,1034,,chimpanzee,SNIFFLES
chr1,34893481,34893911,431,,chimpanzee,SNIFFLES
chr1,40321475,40322580,1106,,chimpanzee,SNIFFLES
chr1,47802690,47803708,1019,,chimpanzee,SNIFFLES
chr1,50673269,50673957,689,,chimpanzee,SNIFFLES
chr1,52403047,54437860,2034814,,chimpanzee,SNIFFLES
chr1,53829912,82575229,28745318,,chimpanzee,SNIFFLES
chr1,57894975,57895916,942,,chimpanzee,SNIFFLES
chr1,57939765,57939833,69,,chimpanzee,SNIFFLES
chr1,58398362,89203368,30805007,,chimpanzee,SNIFFLES
chr1,63206943,63207013,71,,chimpanzee,SNIFFLES
chr1,67504340,67504564,225,,chimpanzee,SNIFFLES
chr1,71507249,71507466,218,,chimpanzee,SNIFFLES
chr1,72134904,72135188,285,,chimpanzee,SNIFFLES
chr1,76033911,76035143,1233,,chimpanzee,SNIFFLES
chr1,76157892,76158248,357,,chimpanzee,SNIFFLES
chr1,78583371,78585350,1980,,chimpanzee,SNIFFLES
chr1,78585168,78588319,3152,,chimpanzee,SNIFFLES
chr1,91656339,91656742,404,,chimpanzee,SNIFFLES
chr1,91656339,91659028,2690,,chimpanzee,SNIFFLES
chr1,104819257,104838457,19201,,chimpanzee,SNIFFLES
chr1,104819258,104838482,19225,,chimpanzee,SNIFFLES
chr1,105658037,105660991,2955,,chimpanzee,SNIFFLES
chr1,105657898,105658180,283,,chimpanzee,SNIFFLES
chr1,109342966,113103516,3760551,,chimpanzee,SNIFFLES
chr1,109342966,113098169,3755204,,chimpanzee,SNIFFLES
chr1,113136834,146365843,33229010,,chimpanzee,SNIFFLES
chr1,113136834,145283546,32146713,,chimpanzee,SNIFFLES
chr1,113136836,148525019,35388184,,chimpanzee,SNIFFLES
chr1,145421922,146472708,1050787,,chimpanzee,SNIFFLES
chr1,146905930,148186689,1280760,,chimpanzee,SNIFFLES
chr1,148279008,148307599,28592,,chimpanzee,SNIFFLES
chr1,148279009,148280404,1396,,chimpanzee,SNIFFLES
chr1,156300266,156300576,311,,chimpanzee,SNIFFLES
chr1,157978010,157978471,462,,chimpanzee,SNIFFLES
chr1,168797538,195332503,26534966,,chimpanzee,SNIFFLES
chr1,172136278,172136357,80,,chimpanzee,SNIFFLES
chr1,178814694,178814791,98,,chimpanzee,SNIFFLES
chr1,180846749,180847505,757,,chimpanzee,SNIFFLES
chr1,183413281,183413364,84,,chimpanzee,SNIFFLES
chr1,188310003,188310293,291,,chimpanzee,SNIFFLES
chr1,196852176,196852761,586,,chimpanzee,SNIFFLES
chr1,197787659,197788855,1197,,chimpanzee,SNIFFLES
chr1,210911392,210911641,250,,chimpanzee,SNIFFLES
chr1,214239768,214240712,945,,chimpanzee,SNIFFLES
chr1,214914199,214914339,141,,chimpanzee,SNIFFLES
chr1,227284734,227284913,180,,chimpanzee,SNIFFLES
chr1,227610406,227992157,381752,,chimpanzee,SNIFFLES
chr1,235372649,235372946,298,,chimpanzee,SNIFFLES
